FCI gs energy -1.500000 
FCI gs wfn 
01 0.707106781187 0.000000000000 I 
10 -0.707106781187 -0.000000000000 I 
FCI ITE
0.000000 -0.500000 1.000000 0.714142 
0.010000 -0.519997 0.999600 0.721103 
0.020000 -0.539979 0.998402 0.727986 
0.030000 -0.559928 0.996409 0.734789 
0.040000 -0.579830 0.993627 0.741508 
0.050000 -0.599668 0.990066 0.748140 
0.060000 -0.619427 0.985737 0.754683 
0.070000 -0.639092 0.980653 0.761134 
0.080000 -0.658649 0.974831 0.767490 
0.090000 -0.678081 0.968287 0.773749 
0.100000 -0.697375 0.961043 0.779910 
0.110000 -0.716518 0.953120 0.785969 
0.120000 -0.735496 0.944542 0.791927 
0.130000 -0.754296 0.935334 0.797780 
0.140000 -0.772905 0.925523 0.803527 
0.150000 -0.791313 0.915137 0.809168 
0.160000 -0.809507 0.904205 0.814702 
0.170000 -0.827477 0.892759 0.820126 
0.180000 -0.845214 0.880827 0.825442 
0.190000 -0.862707 0.868443 0.830647 
0.200000 -0.879949 0.855639 0.835742 
0.210000 -0.896930 0.842446 0.840727 
0.220000 -0.913644 0.828898 0.845602 
0.230000 -0.930084 0.815028 0.850366 
0.240000 -0.946244 0.800867 0.855020 
0.250000 -0.962117 0.786448 0.859564 
0.260000 -0.977700 0.771803 0.863999 
0.270000 -0.992988 0.756963 0.868325 
0.280000 -1.007977 0.741959 0.872544 
0.290000 -1.022665 0.726821 0.876655 
0.300000 -1.037050 0.711578 0.880661 
0.310000 -1.051128 0.696258 0.884562 
0.320000 -1.064900 0.680888 0.888359 
0.330000 -1.078363 0.665496 0.892054 
0.340000 -1.091519 0.650105 0.895647 
0.350000 -1.104368 0.634740 0.899141 
0.360000 -1.116909 0.619423 0.902537 
0.370000 -1.129145 0.604176 0.905836 
0.380000 -1.141077 0.589020 0.909040 
0.390000 -1.152707 0.573974 0.912150 
0.400000 -1.164037 0.559055 0.915169 
0.410000 -1.175070 0.544281 0.918098 
0.420000 -1.185809 0.529666 0.920939 
0.430000 -1.196258 0.515225 0.923693 
0.440000 -1.206419 0.500972 0.926363 
0.450000 -1.216298 0.486917 0.928950 
0.460000 -1.225897 0.473073 0.931456 
0.470000 -1.235222 0.459448 0.933884 
0.480000 -1.244277 0.446052 0.936233 
0.490000 -1.253066 0.432892 0.938508 
0.500000 -1.261594 0.419974 0.940709 
0.510000 -1.269867 0.407306 0.942838 
0.520000 -1.277888 0.394890 0.944898 
0.530000 -1.285664 0.382732 0.946889 
0.540000 -1.293199 0.370835 0.948815 
0.550000 -1.300499 0.359201 0.950676 
0.560000 -1.307569 0.347832 0.952474 
0.570000 -1.314414 0.336730 0.954212 
0.580000 -1.321040 0.325894 0.955890 
0.590000 -1.327452 0.315324 0.957511 
0.600000 -1.333655 0.305020 0.959076 
0.610000 -1.339654 0.294981 0.960587 
0.620000 -1.345456 0.285205 0.962046 
0.630000 -1.351064 0.275690 0.963453 
0.640000 -1.356485 0.266434 0.964812 
0.650000 -1.361723 0.257433 0.966122 
0.660000 -1.366784 0.248686 0.967386 
0.670000 -1.371672 0.240187 0.968605 
0.680000 -1.376393 0.231935 0.969781 
0.690000 -1.380951 0.223925 0.970915 
0.700000 -1.385352 0.216152 0.972008 
0.710000 -1.389599 0.208614 0.973062 
0.720000 -1.393698 0.201304 0.974077 
0.730000 -1.397653 0.194220 0.975056 
0.740000 -1.401468 0.187355 0.975999 
0.750000 -1.405148 0.180707 0.976908 
0.760000 -1.408698 0.174269 0.977783 
0.770000 -1.412120 0.168036 0.978627 
0.780000 -1.415420 0.162005 0.979439 
0.790000 -1.418602 0.156171 0.980222 
0.800000 -1.421669 0.150527 0.980975 
0.810000 -1.424624 0.145070 0.981701 
0.820000 -1.427473 0.139795 0.982399 
0.830000 -1.430217 0.134696 0.983072 
0.840000 -1.432862 0.129769 0.983720 
0.850000 -1.435409 0.125010 0.984343 
0.860000 -1.437863 0.120413 0.984943 
0.870000 -1.440227 0.115974 0.985521 
0.880000 -1.442503 0.111688 0.986077 
0.890000 -1.444695 0.107551 0.986612 
0.900000 -1.446806 0.103558 0.987127 
0.910000 -1.448838 0.099706 0.987622 
0.920000 -1.450795 0.095989 0.988099 
0.930000 -1.452679 0.092403 0.988558 
0.940000 -1.454492 0.088945 0.988999 
0.950000 -1.456237 0.085610 0.989423 
0.960000 -1.457917 0.082394 0.989832 
0.970000 -1.459534 0.079294 0.990225 
0.980000 -1.461090 0.076306 0.990603 
0.990000 -1.462587 0.073426 0.990966 
