FCI gs energy -1.500000 
FCI gs wfn 
01 0.707106781187 0.000000000000 I 
10 -0.707106781187 0.000000000000 I 
QITE
0.000000 -0.500000 1.000000 0.707107 
0.010000 -0.519997 0.999600 0.714142 
0.020000 -0.539978 0.998402 0.721103 
0.030000 -0.559927 0.996409 0.727986 
0.040000 -0.579828 0.993627 0.734789 
0.050000 -0.599666 0.990067 0.741507 
0.060000 -0.619425 0.985738 0.748139 
0.070000 -0.639090 0.980654 0.754682 
0.080000 -0.658646 0.974831 0.761133 
0.090000 -0.678078 0.968288 0.767489 
0.100000 -0.697372 0.961044 0.773748 
0.110000 -0.716515 0.953121 0.779909 
0.120000 -0.735492 0.944544 0.785968 
0.130000 -0.754292 0.935336 0.791925 
0.140000 -0.772901 0.925525 0.797778 
0.150000 -0.791308 0.915140 0.803526 
0.160000 -0.809502 0.904208 0.809167 
0.170000 -0.827473 0.892762 0.814700 
0.180000 -0.845209 0.880831 0.820125 
0.190000 -0.862702 0.868447 0.825440 
0.200000 -0.879944 0.855643 0.830645 
0.210000 -0.896925 0.842451 0.835741 
0.220000 -0.913639 0.828903 0.840725 
0.230000 -0.930078 0.815033 0.845600 
0.240000 -0.946238 0.800872 0.850364 
0.250000 -0.962111 0.786453 0.855018 
0.260000 -0.977694 0.771809 0.859562 
0.270000 -0.992982 0.756969 0.863997 
0.280000 -1.007971 0.741965 0.868323 
0.290000 -1.022659 0.726827 0.872542 
0.300000 -1.037043 0.711585 0.876654 
0.310000 -1.051122 0.696265 0.880659 
0.320000 -1.064893 0.680896 0.884560 
0.330000 -1.078357 0.665503 0.888357 
0.340000 -1.091513 0.650112 0.892052 
0.350000 -1.104361 0.634747 0.895645 
0.360000 -1.116903 0.619431 0.899139 
0.370000 -1.129139 0.604184 0.902535 
0.380000 -1.141071 0.589028 0.905834 
0.390000 -1.152700 0.573982 0.909038 
0.400000 -1.164031 0.559063 0.912149 
0.410000 -1.175064 0.544289 0.915168 
0.420000 -1.185803 0.529674 0.918097 
0.430000 -1.196252 0.515234 0.920937 
0.440000 -1.206413 0.500980 0.923692 
0.450000 -1.216292 0.486926 0.926362 
0.460000 -1.225892 0.473081 0.928949 
0.470000 -1.235217 0.459457 0.931455 
0.480000 -1.244271 0.446060 0.933882 
0.490000 -1.253060 0.432900 0.936232 
0.500000 -1.261589 0.419982 0.938506 
0.510000 -1.269861 0.407314 0.940708 
0.520000 -1.277883 0.394898 0.942837 
0.530000 -1.285659 0.382740 0.944897 
0.540000 -1.293194 0.370843 0.946888 
0.550000 -1.300494 0.359209 0.948814 
0.560000 -1.307564 0.347840 0.950675 
0.570000 -1.314410 0.336737 0.952473 
0.580000 -1.321035 0.325901 0.954211 
0.590000 -1.327447 0.315331 0.955889 
0.600000 -1.333650 0.305027 0.957510 
0.610000 -1.339650 0.294988 0.959075 
0.620000 -1.345452 0.285212 0.960586 
0.630000 -1.351060 0.275697 0.962045 
0.640000 -1.356481 0.266440 0.963452 
0.650000 -1.361719 0.257440 0.964811 
0.660000 -1.366780 0.248692 0.966121 
0.670000 -1.371669 0.240194 0.967385 
0.680000 -1.376390 0.231941 0.968605 
0.690000 -1.380948 0.223931 0.969780 
0.700000 -1.385348 0.216158 0.970914 
0.710000 -1.389596 0.208619 0.972007 
0.720000 -1.393695 0.201310 0.973061 
0.730000 -1.397650 0.194225 0.974076 
0.740000 -1.401465 0.187361 0.975055 
0.750000 -1.405146 0.180712 0.975998 
0.760000 -1.408695 0.174273 0.976907 
0.770000 -1.412118 0.168041 0.977783 
0.780000 -1.415418 0.162010 0.978626 
0.790000 -1.418599 0.156175 0.979438 
0.800000 -1.421666 0.150531 0.980221 
0.810000 -1.424622 0.145074 0.980975 
0.820000 -1.427470 0.139799 0.981700 
0.830000 -1.430215 0.134700 0.982399 
0.840000 -1.432860 0.129773 0.983072 
0.850000 -1.435407 0.125014 0.983719 
0.860000 -1.437861 0.120416 0.984343 
0.870000 -1.440225 0.115977 0.984943 
0.880000 -1.442501 0.111691 0.985520 
0.890000 -1.444693 0.107554 0.986076 
0.900000 -1.446804 0.103561 0.986611 
0.910000 -1.448837 0.099709 0.987126 
0.920000 -1.450794 0.095992 0.987622 
0.930000 -1.452677 0.092406 0.988099 
0.940000 -1.454491 0.088948 0.988557 
0.950000 -1.456236 0.085613 0.988999 
0.960000 -1.457916 0.082397 0.989423 
0.970000 -1.459533 0.079297 0.989831 
0.980000 -1.461089 0.076309 0.990224 
0.990000 -1.462586 0.073429 0.990602 
