FCI gs energy -8.000000 
FCI gs wfn 
0011 0.288675134595 0.000000000000 I 
0101 -0.577350269190 0.000000000000 I 
0110 0.288675134595 0.000000000000 I 
1001 0.288675134595 0.000000000000 I 
1010 -0.577350269190 0.000000000000 I 
1100 0.288675134595 0.000000000000 I 
FCI ITE
0.000000 -4.000000 16.000000 0.599977 
0.010000 -4.307233 14.726437 0.621657 
0.020000 -4.589296 13.488318 0.642384 
0.030000 -4.847182 12.312382 0.662169 
0.040000 -5.082326 11.216409 0.681033 
0.050000 -5.296439 10.210385 0.699004 
0.060000 -5.491367 9.297979 0.716115 
0.070000 -5.668976 8.478089 0.732401 
0.080000 -5.831078 7.746262 0.747897 
0.090000 -5.979370 7.095913 0.762636 
0.100000 -6.115406 6.519299 0.776652 
0.110000 -6.240579 6.008250 0.789976 
0.120000 -6.356119 5.554693 0.802634 
0.130000 -6.463099 5.150996 0.814656 
0.140000 -6.562445 4.790178 0.826065 
0.150000 -6.654950 4.466012 0.836885 
0.160000 -6.741293 4.173059 0.847140 
0.170000 -6.822049 3.906647 0.856850 
0.180000 -6.897709 3.662822 0.866037 
0.190000 -6.968691 3.438282 0.874720 
0.200000 -7.035351 3.230298 0.882919 
0.210000 -7.097998 3.036637 0.890654 
0.220000 -7.156900 2.855486 0.897944 
0.230000 -7.212291 2.685387 0.904807 
0.240000 -7.264381 2.525168 0.911262 
0.250000 -7.313357 2.373893 0.917327 
0.260000 -7.359391 2.230813 0.923021 
0.270000 -7.402640 2.095324 0.928360 
0.280000 -7.443252 1.966938 0.933364 
0.290000 -7.481363 1.845252 0.938047 
0.300000 -7.517104 1.729929 0.942429 
0.310000 -7.550600 1.620676 0.946523 
0.320000 -7.581970 1.517238 0.950347 
0.330000 -7.611327 1.419380 0.953916 
0.340000 -7.638781 1.326883 0.957244 
0.350000 -7.664437 1.239541 0.960345 
0.360000 -7.688395 1.157151 0.963233 
0.370000 -7.710754 1.079516 0.965921 
0.380000 -7.731606 1.006441 0.968422 
0.390000 -7.751041 0.937731 0.970747 
0.400000 -7.769144 0.873195 0.972908 
0.410000 -7.785995 0.812641 0.974915 
0.420000 -7.801674 0.755881 0.976778 
0.430000 -7.816255 0.702729 0.978507 
0.440000 -7.829806 0.653000 0.980112 
0.450000 -7.842396 0.606516 0.981599 
0.460000 -7.854088 0.563101 0.982979 
0.470000 -7.864940 0.522585 0.984257 
0.480000 -7.875009 0.484802 0.985441 
0.490000 -7.884349 0.449593 0.986539 
0.500000 -7.893009 0.416804 0.987554 
0.510000 -7.901036 0.386287 0.988495 
0.520000 -7.908475 0.357902 0.989366 
0.530000 -7.915366 0.331515 0.990171 
0.540000 -7.921748 0.306996 0.990917 
0.550000 -7.927657 0.284225 0.991606 
0.560000 -7.933128 0.263086 0.992244 
0.570000 -7.938191 0.243471 0.992834 
0.580000 -7.942876 0.225276 0.993380 
0.590000 -7.947211 0.208404 0.993884 
0.600000 -7.951220 0.192766 0.994350 
0.610000 -7.954929 0.178274 0.994781 
0.620000 -7.958358 0.164849 0.995180 
0.630000 -7.961529 0.152415 0.995548 
0.640000 -7.964461 0.140903 0.995888 
0.650000 -7.967171 0.130245 0.996202 
0.660000 -7.969676 0.120382 0.996493 
0.670000 -7.971991 0.111255 0.996761 
0.680000 -7.974131 0.102811 0.997009 
0.690000 -7.976108 0.095000 0.997238 
0.700000 -7.977935 0.087776 0.997450 
0.710000 -7.979623 0.081096 0.997645 
0.720000 -7.981182 0.074919 0.997825 
0.730000 -7.982623 0.069209 0.997992 
0.740000 -7.983953 0.063930 0.998146 
0.750000 -7.985182 0.059051 0.998288 
0.760000 -7.986318 0.054542 0.998420 
0.770000 -7.987366 0.050375 0.998541 
0.780000 -7.988335 0.046525 0.998653 
0.790000 -7.989229 0.042967 0.998756 
0.800000 -7.990055 0.039680 0.998852 
0.810000 -7.990818 0.036643 0.998940 
0.820000 -7.991523 0.033838 0.999021 
0.830000 -7.992173 0.031246 0.999096 
0.840000 -7.992774 0.028853 0.999166 
0.850000 -7.993328 0.026642 0.999230 
0.860000 -7.993841 0.024600 0.999289 
0.870000 -7.994314 0.022714 0.999344 
0.880000 -7.994750 0.020972 0.999394 
0.890000 -7.995153 0.019363 0.999441 
0.900000 -7.995525 0.017878 0.999484 
0.910000 -7.995869 0.016506 0.999523 
0.920000 -7.996186 0.015240 0.999560 
0.930000 -7.996479 0.014070 0.999594 
0.940000 -7.996750 0.012990 0.999625 
0.950000 -7.997000 0.011993 0.999654 
0.960000 -7.997230 0.011072 0.999680 
0.970000 -7.997443 0.010222 0.999705 
0.980000 -7.997639 0.009437 0.999728 
0.990000 -7.997821 0.008712 0.999748 
1.000000 -7.997988 0.008043 0.999768 
1.010000 -7.998143 0.007425 0.999786 
1.020000 -7.998286 0.006855 0.999802 
1.030000 -7.998417 0.006328 0.999817 
1.040000 -7.998539 0.005842 0.999831 
1.050000 -7.998651 0.005393 0.999844 
1.060000 -7.998755 0.004979 0.999856 
1.070000 -7.998851 0.004596 0.999867 
1.080000 -7.998939 0.004243 0.999878 
1.090000 -7.999021 0.003917 0.999887 
1.100000 -7.999096 0.003616 0.999896 
1.110000 -7.999165 0.003338 0.999904 
1.120000 -7.999229 0.003082 0.999911 
1.130000 -7.999289 0.002845 0.999918 
1.140000 -7.999343 0.002626 0.999924 
1.150000 -7.999394 0.002424 0.999930 
1.160000 -7.999440 0.002238 0.999935 
1.170000 -7.999483 0.002066 0.999940 
1.180000 -7.999523 0.001907 0.999945 
1.190000 -7.999560 0.001760 0.999949 
1.200000 -7.999594 0.001625 0.999953 
1.210000 -7.999625 0.001500 0.999957 
1.220000 -7.999654 0.001385 0.999960 
1.230000 -7.999680 0.001278 0.999963 
1.240000 -7.999705 0.001180 0.999966 
1.250000 -7.999728 0.001089 0.999969 
1.260000 -7.999749 0.001006 0.999971 
1.270000 -7.999768 0.000928 0.999973 
1.280000 -7.999786 0.000857 0.999975 
1.290000 -7.999802 0.000791 0.999977 
1.300000 -7.999817 0.000730 0.999979 
1.310000 -7.999831 0.000674 0.999981 
1.320000 -7.999844 0.000622 0.999982 
1.330000 -7.999856 0.000574 0.999983 
1.340000 -7.999867 0.000530 0.999985 
1.350000 -7.999878 0.000490 0.999986 
1.360000 -7.999887 0.000452 0.999987 
1.370000 -7.999896 0.000417 0.999988 
1.380000 -7.999904 0.000385 0.999989 
1.390000 -7.999911 0.000355 0.999990 
1.400000 -7.999918 0.000328 0.999991 
1.410000 -7.999924 0.000303 0.999991 
1.420000 -7.999930 0.000280 0.999992 
1.430000 -7.999935 0.000258 0.999993 
1.440000 -7.999940 0.000238 0.999993 
1.450000 -7.999945 0.000220 0.999994 
1.460000 -7.999949 0.000203 0.999994 
1.470000 -7.999953 0.000187 0.999995 
1.480000 -7.999957 0.000173 0.999995 
1.490000 -7.999960 0.000160 0.999995 
1.500000 -7.999963 0.000147 0.999996 
1.510000 -7.999966 0.000136 0.999996 
1.520000 -7.999969 0.000126 0.999996 
1.530000 -7.999971 0.000116 0.999997 
1.540000 -7.999973 0.000107 0.999997 
1.550000 -7.999975 0.000099 0.999997 
1.560000 -7.999977 0.000091 0.999997 
1.570000 -7.999979 0.000084 0.999998 
1.580000 -7.999981 0.000078 0.999998 
1.590000 -7.999982 0.000072 0.999998 
1.600000 -7.999983 0.000066 0.999998 
