FCI gs energy -4.575366 
FCI gs wfn 
00001111 -0.032222159240 0.000000000000 I 
00011011 0.089825161465 0.000000000000 I 
00011110 -0.094862414971 0.000000000000 I 
00100111 -0.089825161434 0.000000000000 I 
00101101 0.094862414915 0.000000000000 I 
00110011 -0.189035966393 0.000000000000 I 
00110110 0.218573577743 0.000000000000 I 
00111001 -0.218573577708 0.000000000000 I 
00111100 -0.156813807154 0.000000000000 I 
01001011 0.094862414971 0.000000000000 I 
01001110 -0.125631488855 0.000000000000 I 
01011010 0.070276161398 0.000000000000 I 
01100011 0.218573577743 0.000000000000 I 
01100110 -0.314809003636 0.000000000000 I 
01101001 0.244532840920 0.000000000000 I 
01101100 0.218573577743 0.000000000000 I 
01110010 -0.125631488855 0.000000000000 I 
01111000 -0.094862414971 0.000000000000 I 
10000111 -0.094862414915 0.000000000000 I 
10001101 0.125631488846 0.000000000000 I 
10010011 -0.218573577708 0.000000000000 I 
10010110 0.244532840920 0.000000000000 I 
10011001 -0.314809003612 0.000000000000 I 
10011100 -0.218573577708 0.000000000000 I 
10100101 0.070276161446 0.000000000000 I 
10110001 0.125631488846 0.000000000000 I 
10110100 0.094862414915 0.000000000000 I 
11000011 -0.156813807154 0.000000000000 I 
11000110 0.218573577743 0.000000000000 I 
11001001 -0.218573577708 0.000000000000 I 
11001100 -0.189035966393 0.000000000000 I 
11010010 0.094862414971 0.000000000000 I 
11011000 0.089825161465 0.000000000000 I 
11100001 -0.094862414915 0.000000000000 I 
11100100 -0.089825161434 0.000000000000 I 
11110000 -0.032222159240 0.000000000000 I 
ITE
0.000000 -1.000000 6.000000 0.314809 
0.050000 -1.566941 5.314211 0.371027 
0.100000 -2.060137 4.545984 0.425832 
0.150000 -2.476878 3.798344 0.477744 
0.200000 -2.822424 3.128044 0.525885 
0.250000 -3.105772 2.555622 0.569869 
0.300000 -3.336807 2.080642 0.609667 
0.350000 -3.524822 1.693219 0.645470 
0.400000 -3.677941 1.380525 0.677594 
0.450000 -3.802992 1.129824 0.706405 
0.500000 -3.905588 0.929651 0.732277 
0.550000 -3.990276 0.770159 0.755564 
0.600000 -4.060700 0.643116 0.776584 
0.650000 -4.119755 0.541765 0.795619 
0.700000 -4.169726 0.460641 0.812908 
0.750000 -4.212410 0.395374 0.828656 
0.800000 -4.249213 0.342505 0.843037 
0.850000 -4.281234 0.299319 0.856197 
0.900000 -4.309329 0.263700 0.868258 
0.950000 -4.334171 0.234006 0.879328 
1.000000 -4.356285 0.208972 0.889495 
1.050000 -4.376088 0.187623 0.898839 
1.100000 -4.393907 0.169211 0.907429 
1.150000 -4.410008 0.153163 0.915325 
1.200000 -4.424604 0.139039 0.922582 
1.250000 -4.437869 0.126500 0.929249 
1.300000 -4.449948 0.115287 0.935373 
1.350000 -4.460964 0.105195 0.940994 
1.400000 -4.471019 0.096067 0.946150 
1.450000 -4.480205 0.087776 0.950878 
1.500000 -4.488599 0.080224 0.955210 
1.550000 -4.496271 0.073328 0.959176 
1.600000 -4.503284 0.067020 0.962805 
1.650000 -4.509693 0.061244 0.966124 
1.700000 -4.515549 0.055952 0.969158 
1.750000 -4.520898 0.051102 0.971929 
1.800000 -4.525783 0.046655 0.974459 
1.850000 -4.530242 0.042580 0.976767 
1.900000 -4.534310 0.038846 0.978872 
1.950000 -4.538021 0.035425 0.980791 
2.000000 -4.541405 0.032294 0.982540 
2.050000 -4.544489 0.029428 0.984132 
2.100000 -4.547299 0.026808 0.985583 
2.150000 -4.549858 0.024412 0.986903 
2.200000 -4.552188 0.022223 0.988104 
2.250000 -4.554309 0.020224 0.989196 
2.300000 -4.556239 0.018400 0.990190 
2.350000 -4.557994 0.016736 0.991093 
2.400000 -4.559591 0.015218 0.991914 
2.450000 -4.561042 0.013835 0.992660 
2.500000 -4.562362 0.012575 0.993338 
2.550000 -4.563561 0.011427 0.993954 
2.600000 -4.564651 0.010382 0.994513 
2.650000 -4.565641 0.009431 0.995021 
2.700000 -4.566540 0.008566 0.995482 
2.750000 -4.567356 0.007779 0.995901 
2.800000 -4.568098 0.007064 0.996281 
2.850000 -4.568771 0.006413 0.996626 
2.900000 -4.569383 0.005822 0.996939 
2.950000 -4.569938 0.005285 0.997223 
3.000000 -4.570441 0.004797 0.997481 
3.050000 -4.570898 0.004353 0.997715 
3.100000 -4.571313 0.003950 0.997928 
3.150000 -4.571690 0.003585 0.998120 
3.200000 -4.572031 0.003253 0.998295 
3.250000 -4.572341 0.002951 0.998454 
3.300000 -4.572622 0.002677 0.998598 
3.350000 -4.572878 0.002429 0.998728 
3.400000 -4.573109 0.002204 0.998846 
3.450000 -4.573319 0.001999 0.998954 
3.500000 -4.573509 0.001813 0.999051 
3.550000 -4.573682 0.001645 0.999140 
3.600000 -4.573839 0.001492 0.999220 
3.650000 -4.573981 0.001353 0.999292 
3.700000 -4.574110 0.001227 0.999358 
3.750000 -4.574227 0.001113 0.999418 
3.800000 -4.574333 0.001010 0.999472 
