FCI gs energy -4.575366 
FCI gs wfn 
00001111 -0.032222159240 0.000000000000 I 
00011011 0.089825161465 0.000000000000 I 
00011110 -0.094862414971 0.000000000000 I 
00100111 -0.089825161434 0.000000000000 I 
00101101 0.094862414915 0.000000000000 I 
00110011 -0.189035966393 0.000000000000 I 
00110110 0.218573577743 0.000000000000 I 
00111001 -0.218573577708 0.000000000000 I 
00111100 -0.156813807154 0.000000000000 I 
01001011 0.094862414971 0.000000000000 I 
01001110 -0.125631488855 0.000000000000 I 
01011010 0.070276161398 0.000000000000 I 
01100011 0.218573577743 0.000000000000 I 
01100110 -0.314809003636 0.000000000000 I 
01101001 0.244532840920 0.000000000000 I 
01101100 0.218573577743 0.000000000000 I 
01110010 -0.125631488855 0.000000000000 I 
01111000 -0.094862414971 0.000000000000 I 
10000111 -0.094862414915 0.000000000000 I 
10001101 0.125631488846 0.000000000000 I 
10010011 -0.218573577708 0.000000000000 I 
10010110 0.244532840920 0.000000000000 I 
10011001 -0.314809003612 0.000000000000 I 
10011100 -0.218573577708 0.000000000000 I 
10100101 0.070276161446 0.000000000000 I 
10110001 0.125631488846 0.000000000000 I 
10110100 0.094862414915 0.000000000000 I 
11000011 -0.156813807154 0.000000000000 I 
11000110 0.218573577743 0.000000000000 I 
11001001 -0.218573577708 0.000000000000 I 
11001100 -0.189035966393 0.000000000000 I 
11010010 0.094862414971 0.000000000000 I 
11011000 0.089825161465 0.000000000000 I 
11100001 -0.094862414915 0.000000000000 I 
11100100 -0.089825161434 0.000000000000 I 
11110000 -0.032222159240 0.000000000000 I 
QITE
0.000000 -1.000000 6.000000 0.314809 
0.050000 -1.566609 5.314569 0.370933 
0.100000 -2.060972 4.542978 0.425585 
0.150000 -2.479493 3.789504 0.477481 
0.200000 -2.826600 3.112256 0.525404 
0.250000 -3.110716 2.533157 0.568890 
0.300000 -3.341983 2.056593 0.608730 
0.350000 -3.529371 1.669795 0.644392 
0.400000 -3.681077 1.359508 0.676158 
0.450000 -3.804062 1.112496 0.704385 
0.500000 -3.904080 0.916821 0.729450 
0.550000 -3.985816 0.762238 0.751723 
0.600000 -4.053032 0.640209 0.771549 
0.650000 -4.108723 0.543767 0.789239 
0.700000 -4.155256 0.467312 0.805069 
0.750000 -4.194492 0.406407 0.819278 
0.800000 -4.227891 0.357566 0.832074 
0.850000 -4.256595 0.318077 0.843638 
0.900000 -4.281498 0.285841 0.854122 
0.950000 -4.303300 0.259242 0.863658 
1.000000 -4.322553 0.237037 0.872360 
1.050000 -4.339692 0.218273 0.880324 
1.100000 -4.355062 0.202220 0.887635 
1.150000 -4.368938 0.188318 0.894364 
1.200000 -4.381542 0.176135 0.900574 
1.250000 -4.393052 0.165340 0.906319 
1.300000 -4.403615 0.155676 0.911645 
1.350000 -4.413349 0.146943 0.916595 
1.400000 -4.422353 0.138987 0.921203 
1.450000 -4.430711 0.131685 0.925501 
1.500000 -4.438491 0.124941 0.929518 
1.550000 -4.445752 0.118678 0.933277 
1.600000 -4.452544 0.112836 0.936800 
1.650000 -4.458911 0.107363 0.940107 
1.700000 -4.464890 0.102221 0.943215 
1.750000 -4.470514 0.097375 0.946139 
1.800000 -4.475810 0.092798 0.948894 
1.850000 -4.480805 0.088466 0.951491 
1.900000 -4.485521 0.084360 0.953942 
1.950000 -4.489978 0.080463 0.956258 
2.000000 -4.494194 0.076759 0.958447 
2.050000 -4.498186 0.073237 0.960518 
2.100000 -4.501967 0.069883 0.962478 
2.150000 -4.505552 0.066689 0.964335 
2.200000 -4.508953 0.063645 0.966096 
2.250000 -4.512181 0.060743 0.967765 
2.300000 -4.515246 0.057974 0.969349 
2.350000 -4.518158 0.055333 0.970853 
2.400000 -4.520925 0.052812 0.972281 
2.450000 -4.523556 0.050406 0.973637 
2.500000 -4.526058 0.048109 0.974927 
2.550000 -4.528438 0.045915 0.976152 
2.600000 -4.530703 0.043820 0.977318 
2.650000 -4.532859 0.041820 0.978427 
2.700000 -4.534911 0.039909 0.979482 
2.750000 -4.536866 0.038084 0.980486 
2.800000 -4.538727 0.036342 0.981441 
2.850000 -4.540500 0.034677 0.982351 
2.900000 -4.542188 0.033087 0.983218 
2.950000 -4.543797 0.031568 0.984043 
3.000000 -4.545330 0.030118 0.984828 
3.050000 -4.546791 0.028732 0.985577 
3.100000 -4.548184 0.027409 0.986290 
3.150000 -4.549511 0.026146 0.986970 
3.200000 -4.550776 0.024940 0.987617 
3.250000 -4.551981 0.023788 0.988234 
3.300000 -4.553130 0.022688 0.988822 
3.350000 -4.554225 0.021638 0.989382 
3.400000 -4.555269 0.020636 0.989916 
3.450000 -4.556264 0.019679 0.990424 
3.500000 -4.557213 0.018766 0.990909 
3.550000 -4.558117 0.017895 0.991371 
3.600000 -4.558978 0.017063 0.991811 
3.650000 -4.559799 0.016270 0.992231 
3.700000 -4.560582 0.015514 0.992630 
3.750000 -4.561327 0.014792 0.993011 
3.800000 -4.562038 0.014104 0.993374 
