FCI gs energy -5.000000 
FCI gs wfn 
000110 1.000000000000 0.000000000000 I 
QITE
0.000000 -3.000000 1.500000 0.093750 
0.010000 -3.029852 1.484853 0.097547 
0.020000 -3.059399 1.469387 0.101435 
0.030000 -3.088635 1.453636 0.105412 
0.040000 -3.117555 1.437631 0.109478 
0.050000 -3.146156 1.421404 0.113633 
0.060000 -3.174434 1.404978 0.117875 
0.070000 -3.202387 1.388381 0.122203 
0.080000 -3.230004 1.371649 0.126616 
0.090000 -3.257287 1.354822 0.131115 
0.100000 -3.284235 1.337911 0.135697 
0.110000 -3.310865 1.321275 0.140402 
0.120000 -3.337162 1.304625 0.145195 
0.130000 -3.363127 1.287981 0.150072 
0.140000 -3.388761 1.271362 0.155034 
0.150000 -3.414064 1.254783 0.160078 
0.160000 -3.439037 1.238260 0.165204 
0.170000 -3.463683 1.221804 0.170410 
0.180000 -3.488000 1.205437 0.175695 
0.190000 -3.511995 1.189162 0.181057 
0.200000 -3.535665 1.172998 0.186495 
0.210000 -3.558988 1.156808 0.192001 
0.220000 -3.581991 1.140749 0.197580 
0.230000 -3.604677 1.124830 0.203229 
0.240000 -3.627048 1.109059 0.208947 
0.250000 -3.649109 1.093441 0.214732 
0.260000 -3.670863 1.077980 0.220583 
0.270000 -3.692313 1.062679 0.226496 
0.280000 -3.713461 1.047550 0.232472 
0.290000 -3.734312 1.032589 0.238507 
0.300000 -3.754867 1.017805 0.244600 
0.310000 -3.775088 1.003042 0.250732 
0.320000 -3.795021 0.988466 0.256918 
0.330000 -3.814669 0.974076 0.263154 
0.340000 -3.834036 0.959873 0.269438 
0.350000 -3.853126 0.945855 0.275770 
0.360000 -3.871944 0.932021 0.282145 
0.370000 -3.890490 0.918373 0.288563 
0.380000 -3.908772 0.904904 0.295021 
0.390000 -3.926790 0.891620 0.301517 
0.400000 -3.944550 0.878515 0.308049 
0.410000 -3.961989 0.865478 0.314592 
0.420000 -3.979177 0.852628 0.321168 
0.430000 -3.996117 0.839961 0.327772 
0.440000 -4.012813 0.827476 0.334404 
0.450000 -4.029268 0.815169 0.341061 
0.460000 -4.045486 0.803035 0.347741 
0.470000 -4.061472 0.791069 0.354441 
0.480000 -4.077227 0.779272 0.361161 
0.490000 -4.092745 0.767636 0.367895 
0.500000 -4.108040 0.756164 0.374644 
0.510000 -4.123051 0.744767 0.381374 
0.520000 -4.137845 0.733538 0.388114 
0.530000 -4.152426 0.722472 0.394863 
0.540000 -4.166795 0.711566 0.401619 
0.550000 -4.180957 0.700815 0.408379 
0.560000 -4.194914 0.690216 0.415142 
0.570000 -4.208671 0.679764 0.421906 
0.580000 -4.222218 0.669454 0.428665 
0.590000 -4.235568 0.659288 0.435421 
0.600000 -4.248725 0.649263 0.442172 
0.610000 -4.261621 0.639310 0.448869 
0.620000 -4.274330 0.629500 0.455558 
0.630000 -4.286854 0.619830 0.462238 
0.640000 -4.299197 0.610295 0.468906 
0.650000 -4.311360 0.600894 0.475560 
0.660000 -4.323338 0.591618 0.482195 
0.670000 -4.335143 0.582468 0.488814 
0.680000 -4.346762 0.573424 0.495395 
0.690000 -4.358210 0.564504 0.501956 
0.700000 -4.369479 0.555710 0.508495 
0.710000 -4.380535 0.546993 0.514970 
0.720000 -4.391429 0.538398 0.521423 
0.730000 -4.402163 0.529922 0.527850 
0.740000 -4.412740 0.521563 0.534251 
0.750000 -4.423154 0.513317 0.540620 
0.760000 -4.433414 0.505190 0.546963 
0.770000 -4.443510 0.497154 0.553256 
0.780000 -4.453451 0.489227 0.559513 
0.790000 -4.463237 0.481405 0.565733 
0.800000 -4.472874 0.473694 0.571919 
0.810000 -4.482318 0.466055 0.578020 
0.820000 -4.491620 0.458521 0.584085 
0.830000 -4.500785 0.451091 0.590114 
0.840000 -4.509812 0.443764 0.596106 
0.850000 -4.518694 0.436540 0.602056 
0.860000 -4.527443 0.429416 0.607965 
0.870000 -4.536045 0.422371 0.613812 
0.880000 -4.544493 0.415413 0.619594 
0.890000 -4.552813 0.408552 0.625335 
0.900000 -4.561004 0.401791 0.631034 
0.910000 -4.569036 0.395106 0.636652 
0.920000 -4.576946 0.388515 0.642227 
0.930000 -4.584736 0.382015 0.647758 
0.940000 -4.592402 0.375610 0.653242 
0.950000 -4.599938 0.369285 0.658665 
0.960000 -4.607358 0.363048 0.664042 
0.970000 -4.614657 0.356903 0.669368 
0.980000 -4.621817 0.350830 0.674616 
0.990000 -4.628860 0.344844 0.679814 
1.000000 -4.635789 0.338944 0.684959 
1.010000 -4.642585 0.333121 0.690028 
1.020000 -4.649276 0.327383 0.695051 
1.030000 -4.655863 0.321728 0.700028 
1.040000 -4.662332 0.316151 0.704939 
1.050000 -4.668700 0.310656 0.709803 
1.060000 -4.674951 0.305236 0.714599 
1.070000 -4.681090 0.299892 0.719331 
1.080000 -4.687127 0.294630 0.724012 
1.090000 -4.693063 0.289443 0.728639 
1.100000 -4.698900 0.284335 0.733212 
1.110000 -4.704618 0.279301 0.737705 
1.120000 -4.710245 0.274341 0.742151 
1.130000 -4.715773 0.269456 0.746539 
1.140000 -4.721209 0.264645 0.750875 
1.150000 -4.726539 0.259903 0.755140 
1.160000 -4.731781 0.255236 0.759356 
1.170000 -4.736930 0.250639 0.763514 
1.180000 -4.741989 0.246113 0.767618 
1.190000 -4.746954 0.241656 0.771659 
1.200000 -4.751831 0.237267 0.775644 
1.210000 -4.756614 0.232950 0.779566 
1.220000 -4.761320 0.228700 0.783442 
1.230000 -4.765937 0.224518 0.787259 
1.240000 -4.770475 0.220401 0.791025 
1.250000 -4.774924 0.216351 0.794729 
1.260000 -4.779295 0.212365 0.798379 
1.270000 -4.783586 0.208444 0.801976 
1.280000 -4.787796 0.204586 0.805517 
1.290000 -4.791931 0.200790 0.809005 
1.300000 -4.795985 0.197057 0.812436 
1.310000 -4.799965 0.193388 0.815814 
1.320000 -4.803877 0.189778 0.819148 
1.330000 -4.807715 0.186229 0.822427 
1.340000 -4.811480 0.182738 0.825653 
1.350000 -4.815176 0.179307 0.828830 
1.360000 -4.818802 0.175933 0.831955 
1.370000 -4.822359 0.172617 0.835029 
1.380000 -4.825850 0.169358 0.838055 
1.390000 -4.829275 0.166153 0.841029 
1.400000 -4.832634 0.163005 0.843956 
1.410000 -4.835927 0.159913 0.846831 
1.420000 -4.839159 0.156875 0.849661 
1.430000 -4.842331 0.153890 0.852447 
1.440000 -4.845439 0.150957 0.855181 
1.450000 -4.848490 0.148076 0.857872 
1.460000 -4.851480 0.145245 0.860515 
1.470000 -4.854415 0.142465 0.863115 
1.480000 -4.857291 0.139735 0.865669 
1.490000 -4.860112 0.137053 0.868179 
1.500000 -4.862881 0.134419 0.870649 
1.510000 -4.865594 0.131835 0.873073 
1.520000 -4.868255 0.129297 0.875457 
1.530000 -4.870866 0.126805 0.877801 
1.540000 -4.873423 0.124359 0.880100 
1.550000 -4.875932 0.121957 0.882361 
1.560000 -4.878390 0.119600 0.884580 
1.570000 -4.880801 0.117286 0.886761 
1.580000 -4.883164 0.115015 0.888902 
1.590000 -4.885481 0.112786 0.891006 
1.600000 -4.887752 0.110598 0.893070 
1.610000 -4.889977 0.108453 0.895097 
1.620000 -4.892160 0.106347 0.897090 
1.630000 -4.894298 0.104282 0.899044 
1.640000 -4.896395 0.102254 0.900964 
1.650000 -4.898451 0.100265 0.902849 
1.660000 -4.900464 0.098314 0.904699 
1.670000 -4.902439 0.096400 0.906515 
1.680000 -4.904374 0.094522 0.908298 
1.690000 -4.906269 0.092681 0.910047 
1.700000 -4.908127 0.090875 0.911763 
1.710000 -4.909948 0.089104 0.913448 
1.720000 -4.911733 0.087366 0.915103 
1.730000 -4.913481 0.085663 0.916726 
1.740000 -4.915195 0.083993 0.918319 
1.750000 -4.916874 0.082354 0.919881 
1.760000 -4.918519 0.080748 0.921414 
1.770000 -4.920131 0.079173 0.922918 
1.780000 -4.921711 0.077628 0.924394 
1.790000 -4.923259 0.076114 0.925842 
1.800000 -4.924776 0.074629 0.927262 
1.810000 -4.926261 0.073175 0.928655 
1.820000 -4.927716 0.071750 0.930021 
1.830000 -4.929142 0.070352 0.931362 
1.840000 -4.930539 0.068982 0.932677 
1.850000 -4.931908 0.067639 0.933966 
1.860000 -4.933249 0.066322 0.935231 
1.870000 -4.934563 0.065031 0.936472 
1.880000 -4.935850 0.063766 0.937689 
1.890000 -4.937112 0.062525 0.938882 
1.900000 -4.938348 0.061310 0.940053 
1.910000 -4.939559 0.060118 0.941201 
1.920000 -4.940745 0.058951 0.942327 
1.930000 -4.941907 0.057806 0.943431 
1.940000 -4.943046 0.056684 0.944514 
1.950000 -4.944162 0.055585 0.945576 
1.960000 -4.945255 0.054507 0.946617 
1.970000 -4.946326 0.053451 0.947638 
1.980000 -4.947375 0.052415 0.948639 
1.990000 -4.948403 0.051401 0.949621 
2.000000 -4.949410 0.050406 0.950584 
2.010000 -4.950397 0.049432 0.951528 
2.020000 -4.951364 0.048478 0.952454 
2.030000 -4.952311 0.047542 0.953362 
2.040000 -4.953239 0.046625 0.954252 
2.050000 -4.954148 0.045727 0.955125 
2.060000 -4.955039 0.044846 0.955980 
2.070000 -4.955911 0.043983 0.956819 
2.080000 -4.956766 0.043137 0.957642 
2.090000 -4.957604 0.042308 0.958449 
2.100000 -4.958425 0.041495 0.959240 
2.110000 -4.959229 0.040700 0.960015 
2.120000 -4.960017 0.039920 0.960776 
2.130000 -4.960789 0.039155 0.961521 
2.140000 -4.961546 0.038406 0.962252 
2.150000 -4.962287 0.037672 0.962969 
2.160000 -4.963014 0.036952 0.963671 
2.170000 -4.963725 0.036247 0.964360 
2.180000 -4.964423 0.035556 0.965036 
2.190000 -4.965106 0.034878 0.965698 
2.200000 -4.965776 0.034214 0.966348 
2.210000 -4.966432 0.033563 0.966984 
2.220000 -4.967075 0.032926 0.967609 
2.230000 -4.967706 0.032300 0.968221 
2.240000 -4.968323 0.031688 0.968821 
2.250000 -4.968929 0.031087 0.969410 
2.260000 -4.969522 0.030498 0.969987 
2.270000 -4.970104 0.029921 0.970553 
2.280000 -4.970673 0.029355 0.971108 
2.290000 -4.971232 0.028801 0.971652 
2.300000 -4.971779 0.028257 0.972186 
2.310000 -4.972316 0.027724 0.972709 
2.320000 -4.972842 0.027202 0.973222 
2.330000 -4.973357 0.026690 0.973725 
2.340000 -4.973862 0.026188 0.974219 
2.350000 -4.974358 0.025696 0.974703 
2.360000 -4.974843 0.025213 0.975177 
2.370000 -4.975319 0.024740 0.975643 
2.380000 -4.975786 0.024277 0.976099 
2.390000 -4.976243 0.023822 0.976547 
2.400000 -4.976691 0.023376 0.976986 
2.410000 -4.977131 0.022939 0.977416 
2.420000 -4.977562 0.022511 0.977838 
2.430000 -4.977984 0.022091 0.978252 
2.440000 -4.978398 0.021679 0.978658 
2.450000 -4.978804 0.021275 0.979057 
2.460000 -4.979202 0.020879 0.979447 
2.470000 -4.979592 0.020490 0.979830 
2.480000 -4.979975 0.020109 0.980206 
2.490000 -4.980350 0.019736 0.980574 
2.500000 -4.980718 0.019369 0.980936 
2.510000 -4.981079 0.019010 0.981291 
2.520000 -4.981433 0.018658 0.981638 
2.530000 -4.981780 0.018313 0.981979 
2.540000 -4.982120 0.017974 0.982314 
2.550000 -4.982453 0.017641 0.982642 
2.560000 -4.982781 0.017315 0.982964 
2.570000 -4.983101 0.016996 0.983280 
2.580000 -4.983416 0.016682 0.983590 
2.590000 -4.983725 0.016374 0.983894 
2.600000 -4.984027 0.016073 0.984192 
2.610000 -4.984324 0.015777 0.984485 
2.620000 -4.984615 0.015487 0.984771 
2.630000 -4.984901 0.015202 0.985053 
2.640000 -4.985181 0.014922 0.985329 
2.650000 -4.985456 0.014648 0.985600 
2.660000 -4.985725 0.014379 0.985866 
2.670000 -4.985989 0.014116 0.986127 
2.680000 -4.986249 0.013857 0.986383 
2.690000 -4.986503 0.013603 0.986634 
2.700000 -4.986753 0.013353 0.986880 
2.710000 -4.986997 0.013109 0.987122 
2.720000 -4.987237 0.012870 0.987359 
2.730000 -4.987473 0.012635 0.987591 
2.740000 -4.987704 0.012404 0.987819 
2.750000 -4.987930 0.012177 0.988043 
2.760000 -4.988153 0.011955 0.988263 
2.770000 -4.988371 0.011737 0.988479 
