FCI gs energy -5.000000 
FCI gs wfn 
000110 1.000000000000 0.000000000000 I 
FCI ITE
0.000000 -3.000000 1.500000 0.097547 
0.010000 -3.029849 1.484855 0.101437 
0.020000 -3.059392 1.469440 0.105421 
0.030000 -3.088625 1.453783 0.109497 
0.040000 -3.117542 1.437912 0.113665 
0.050000 -3.146140 1.421856 0.117926 
0.060000 -3.174415 1.405639 0.122277 
0.070000 -3.202365 1.389288 0.126718 
0.080000 -3.229986 1.372826 0.131248 
0.090000 -3.257277 1.356276 0.135866 
0.100000 -3.284237 1.339661 0.140572 
0.110000 -3.310864 1.323002 0.145364 
0.120000 -3.337157 1.306318 0.150240 
0.130000 -3.363116 1.289628 0.155200 
0.140000 -3.388742 1.272950 0.160243 
0.150000 -3.414034 1.256299 0.165366 
0.160000 -3.438994 1.239692 0.170568 
0.170000 -3.463622 1.223143 0.175847 
0.180000 -3.487920 1.206664 0.181203 
0.190000 -3.511890 1.190269 0.186633 
0.200000 -3.535532 1.173968 0.192135 
0.210000 -3.558849 1.157772 0.197708 
0.220000 -3.581843 1.141691 0.203349 
0.230000 -3.604517 1.125732 0.209058 
0.240000 -3.626874 1.109903 0.214831 
0.250000 -3.648914 1.094212 0.220668 
0.260000 -3.670643 1.078664 0.226564 
0.270000 -3.692062 1.063265 0.232520 
0.280000 -3.713175 1.048020 0.238532 
0.290000 -3.733984 1.032933 0.244599 
0.300000 -3.754493 1.018007 0.250718 
0.310000 -3.774705 1.003245 0.256886 
0.320000 -3.794624 0.988650 0.263103 
0.330000 -3.814252 0.974224 0.269364 
0.340000 -3.833594 0.959968 0.275669 
0.350000 -3.852652 0.945884 0.282015 
0.360000 -3.871431 0.931971 0.288400 
0.370000 -3.889932 0.918231 0.294820 
0.380000 -3.908161 0.904664 0.301275 
0.390000 -3.926120 0.891269 0.307761 
0.400000 -3.943813 0.878046 0.314276 
0.410000 -3.961243 0.864995 0.320818 
0.420000 -3.978414 0.852114 0.327385 
0.430000 -3.995329 0.839402 0.333974 
0.440000 -4.011991 0.826858 0.340583 
0.450000 -4.028404 0.814481 0.347209 
0.460000 -4.044571 0.802269 0.353851 
0.470000 -4.060496 0.790221 0.360507 
0.480000 -4.076181 0.778335 0.367172 
0.490000 -4.091630 0.766609 0.373847 
0.500000 -4.106847 0.755041 0.380528 
0.510000 -4.121833 0.743630 0.387213 
0.520000 -4.136593 0.732373 0.393900 
0.530000 -4.151129 0.721269 0.400587 
0.540000 -4.165445 0.710315 0.407272 
0.550000 -4.179543 0.699510 0.413952 
0.560000 -4.193426 0.688852 0.420626 
0.570000 -4.207098 0.678338 0.427292 
0.580000 -4.220561 0.667967 0.433948 
0.590000 -4.233817 0.657736 0.440591 
0.600000 -4.246871 0.647644 0.447220 
0.610000 -4.259724 0.637689 0.453833 
0.620000 -4.272379 0.627869 0.460428 
0.630000 -4.284840 0.618182 0.467004 
0.640000 -4.297107 0.608626 0.473558 
0.650000 -4.309186 0.599199 0.480089 
0.660000 -4.321076 0.589900 0.486595 
0.670000 -4.332782 0.580727 0.493075 
0.680000 -4.344306 0.571678 0.499527 
0.690000 -4.355650 0.562751 0.505949 
0.700000 -4.366817 0.553945 0.512340 
0.710000 -4.377809 0.545258 0.518699 
0.720000 -4.388628 0.536689 0.525025 
0.730000 -4.399277 0.528236 0.531315 
0.740000 -4.409758 0.519898 0.537568 
0.750000 -4.420074 0.511672 0.543784 
0.760000 -4.430226 0.503559 0.549961 
0.770000 -4.440217 0.495555 0.556098 
0.780000 -4.450049 0.487661 0.562194 
0.790000 -4.459724 0.479874 0.568248 
0.800000 -4.469245 0.472194 0.574258 
0.810000 -4.478613 0.464618 0.580224 
0.820000 -4.487830 0.457146 0.586144 
0.830000 -4.496899 0.449777 0.592019 
0.840000 -4.505822 0.442509 0.597847 
0.850000 -4.514600 0.435341 0.603626 
0.860000 -4.523236 0.428272 0.609358 
0.870000 -4.531732 0.421301 0.615040 
0.880000 -4.540089 0.414427 0.620672 
0.890000 -4.548309 0.407649 0.626254 
0.900000 -4.556395 0.400965 0.631784 
0.910000 -4.564349 0.394375 0.637263 
0.920000 -4.572171 0.387877 0.642690 
0.930000 -4.579864 0.381471 0.648064 
0.940000 -4.587430 0.375155 0.653384 
0.950000 -4.594871 0.368929 0.658652 
0.960000 -4.602188 0.362791 0.663865 
0.970000 -4.609383 0.356741 0.669024 
0.980000 -4.616458 0.350777 0.674129 
0.990000 -4.623415 0.344899 0.679179 
1.000000 -4.630255 0.339106 0.684174 
1.010000 -4.636980 0.333397 0.689114 
1.020000 -4.643591 0.327770 0.693998 
1.030000 -4.650091 0.322226 0.698827 
1.040000 -4.656481 0.316763 0.703600 
1.050000 -4.662762 0.311380 0.708318 
1.060000 -4.668937 0.306076 0.712980 
1.070000 -4.675006 0.300851 0.717587 
1.080000 -4.680971 0.295703 0.722138 
1.090000 -4.686834 0.290633 0.726633 
1.100000 -4.692597 0.285638 0.731072 
1.110000 -4.698260 0.280718 0.735457 
1.120000 -4.703826 0.275872 0.739785 
1.130000 -4.709296 0.271100 0.744059 
1.140000 -4.714671 0.266400 0.748277 
1.150000 -4.719952 0.261772 0.752441 
1.160000 -4.725142 0.257215 0.756550 
1.170000 -4.730241 0.252727 0.760605 
1.180000 -4.735252 0.248309 0.764605 
1.190000 -4.740174 0.243960 0.768551 
1.200000 -4.745010 0.239678 0.772444 
1.210000 -4.749762 0.235463 0.776283 
1.220000 -4.754429 0.231314 0.780069 
1.230000 -4.759015 0.227230 0.783803 
1.240000 -4.763519 0.223211 0.787484 
1.250000 -4.767944 0.219255 0.791112 
1.260000 -4.772290 0.215362 0.794690 
1.270000 -4.776558 0.211531 0.798215 
1.280000 -4.780751 0.207762 0.801690 
1.290000 -4.784869 0.204053 0.805114 
1.300000 -4.788914 0.200403 0.808488 
1.310000 -4.792886 0.196813 0.811812 
1.320000 -4.796787 0.193281 0.815087 
1.330000 -4.800617 0.189807 0.818313 
1.340000 -4.804379 0.186389 0.821490 
1.350000 -4.808073 0.183027 0.824620 
1.360000 -4.811701 0.179721 0.827702 
1.370000 -4.815263 0.176469 0.830736 
1.380000 -4.818760 0.173271 0.833724 
1.390000 -4.822194 0.170125 0.836666 
1.400000 -4.825565 0.167033 0.839562 
1.410000 -4.828875 0.163992 0.842413 
1.420000 -4.832125 0.161001 0.845219 
1.430000 -4.835316 0.158061 0.847981 
1.440000 -4.838448 0.155171 0.850699 
1.450000 -4.841523 0.152329 0.853374 
1.460000 -4.844542 0.149536 0.856006 
1.470000 -4.847505 0.146790 0.858595 
1.480000 -4.850413 0.144090 0.861143 
1.490000 -4.853269 0.141437 0.863650 
1.500000 -4.856071 0.138830 0.866116 
1.510000 -4.858822 0.136267 0.868541 
1.520000 -4.861522 0.133748 0.870927 
1.530000 -4.864172 0.131272 0.873273 
1.540000 -4.866773 0.128840 0.875581 
1.550000 -4.869326 0.126449 0.877850 
1.560000 -4.871832 0.124100 0.880081 
1.570000 -4.874290 0.121793 0.882275 
1.580000 -4.876704 0.119525 0.884433 
1.590000 -4.879072 0.117297 0.886554 
1.600000 -4.881396 0.115108 0.888639 
1.610000 -4.883676 0.112958 0.890689 
1.620000 -4.885914 0.110846 0.892703 
1.630000 -4.888110 0.108770 0.894684 
1.640000 -4.890265 0.106732 0.896631 
1.650000 -4.892380 0.104730 0.898544 
1.660000 -4.894455 0.102763 0.900424 
1.670000 -4.896491 0.100832 0.902272 
1.680000 -4.898488 0.098934 0.904088 
1.690000 -4.900448 0.097071 0.905873 
1.700000 -4.902371 0.095241 0.907626 
1.710000 -4.904258 0.093444 0.909349 
1.720000 -4.906109 0.091680 0.911041 
1.730000 -4.907926 0.089947 0.912704 
1.740000 -4.909707 0.088245 0.914338 
1.750000 -4.911456 0.086574 0.915943 
1.760000 -4.913171 0.084934 0.917519 
1.770000 -4.914853 0.083323 0.919068 
1.780000 -4.916504 0.081741 0.920589 
1.790000 -4.918123 0.080188 0.922083 
1.800000 -4.919711 0.078664 0.923550 
1.810000 -4.921270 0.077167 0.924992 
1.820000 -4.922798 0.075698 0.926407 
1.830000 -4.924298 0.074255 0.927797 
1.840000 -4.925769 0.072839 0.929162 
1.850000 -4.927212 0.071449 0.930502 
1.860000 -4.928627 0.070085 0.931819 
1.870000 -4.930015 0.068746 0.933111 
1.880000 -4.931377 0.067431 0.934380 
1.890000 -4.932712 0.066141 0.935626 
1.900000 -4.934023 0.064874 0.936849 
1.910000 -4.935308 0.063632 0.938050 
1.920000 -4.936568 0.062412 0.939230 
1.930000 -4.937804 0.061214 0.940387 
1.940000 -4.939017 0.060039 0.941524 
1.950000 -4.940206 0.058886 0.942639 
1.960000 -4.941372 0.057755 0.943734 
1.970000 -4.942516 0.056644 0.944809 
1.980000 -4.943638 0.055554 0.945864 
1.990000 -4.944739 0.054485 0.946900 
2.000000 -4.945818 0.053435 0.947917 
2.010000 -4.946876 0.052406 0.948915 
2.020000 -4.947914 0.051395 0.949894 
2.030000 -4.948932 0.050404 0.950855 
2.040000 -4.949930 0.049431 0.951798 
2.050000 -4.950909 0.048476 0.952724 
2.060000 -4.951870 0.047540 0.953633 
2.070000 -4.952811 0.046621 0.954524 
2.080000 -4.953734 0.045719 0.955399 
2.090000 -4.954640 0.044835 0.956258 
2.100000 -4.955528 0.043967 0.957100 
2.110000 -4.956399 0.043116 0.957927 
2.120000 -4.957253 0.042280 0.958738 
2.130000 -4.958090 0.041461 0.959534 
2.140000 -4.958911 0.040657 0.960316 
2.150000 -4.959717 0.039869 0.961082 
2.160000 -4.960506 0.039095 0.961834 
2.170000 -4.961280 0.038336 0.962572 
2.180000 -4.962040 0.037592 0.963296 
2.190000 -4.962784 0.036861 0.964006 
2.200000 -4.963514 0.036145 0.964703 
2.210000 -4.964230 0.035442 0.965386 
2.220000 -4.964932 0.034753 0.966057 
2.230000 -4.965620 0.034077 0.966715 
2.240000 -4.966295 0.033414 0.967360 
2.250000 -4.966957 0.032763 0.967993 
2.260000 -4.967606 0.032125 0.968615 
2.270000 -4.968242 0.031499 0.969224 
2.280000 -4.968866 0.030886 0.969822 
2.290000 -4.969477 0.030283 0.970408 
2.300000 -4.970077 0.029693 0.970983 
2.310000 -4.970665 0.029114 0.971547 
2.320000 -4.971242 0.028546 0.972101 
2.330000 -4.971807 0.027989 0.972644 
2.340000 -4.972361 0.027442 0.973176 
2.350000 -4.972905 0.026906 0.973699 
2.360000 -4.973438 0.026381 0.974211 
2.370000 -4.973960 0.025866 0.974713 
2.380000 -4.974472 0.025360 0.975206 
2.390000 -4.974975 0.024864 0.975690 
2.400000 -4.975467 0.024378 0.976164 
2.410000 -4.975950 0.023901 0.976629 
2.420000 -4.976423 0.023434 0.977085 
2.430000 -4.976887 0.022975 0.977532 
2.440000 -4.977342 0.022526 0.977971 
2.450000 -4.977788 0.022085 0.978401 
2.460000 -4.978226 0.021652 0.978823 
2.470000 -4.978655 0.021228 0.979237 
2.480000 -4.979075 0.020812 0.979643 
2.490000 -4.979487 0.020405 0.980041 
2.500000 -4.979891 0.020005 0.980431 
2.510000 -4.980287 0.019613 0.980814 
2.520000 -4.980676 0.019228 0.981189 
2.530000 -4.981057 0.018851 0.981557 
2.540000 -4.981430 0.018481 0.981918 
2.550000 -4.981796 0.018119 0.982272 
2.560000 -4.982155 0.017763 0.982620 
2.570000 -4.982506 0.017415 0.982960 
2.580000 -4.982851 0.017073 0.983294 
2.590000 -4.983189 0.016738 0.983621 
2.600000 -4.983521 0.016409 0.983942 
2.610000 -4.983846 0.016087 0.984257 
2.620000 -4.984164 0.015771 0.984566 
2.630000 -4.984477 0.015461 0.984868 
2.640000 -4.984783 0.015157 0.985165 
2.650000 -4.985083 0.014860 0.985456 
2.660000 -4.985377 0.014568 0.985742 
2.670000 -4.985666 0.014281 0.986022 
2.680000 -4.985949 0.014001 0.986296 
2.690000 -4.986226 0.013725 0.986565 
2.700000 -4.986498 0.013455 0.986829 
2.710000 -4.986764 0.013191 0.987088 
2.720000 -4.987025 0.012931 0.987341 
2.730000 -4.987281 0.012677 0.987590 
2.740000 -4.987532 0.012428 0.987834 
2.750000 -4.987778 0.012183 0.988073 
2.760000 -4.988020 0.011943 0.988307 
2.770000 -4.988256 0.011708 0.988537 
